# HELP response_time Milliseconds in total to for UniView Server to respond the client requests.
# TYPE response_time histogram
response_time_sum{method="GetPatient"} +Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf+Inf0.5342
response_time_bucket{method="GetPatientHistory",le="8500"} 101
response_time_bucket{method="GetPatientHistory",le="9000"} 101
response_time_bucket{method="GetPatientHistory",le="9500"} 101
response_time_bucket{method="GetPatientHistory",le="10000"} 101
response_time_bucket{method="GetPatientHistory",le="15000"} 101
response_time_bucket{method="GetPatientHistory",le="30000"} 101
response_time_bucket{method="GetPatientHistory",le="+Inf"} 101
response_time_sum{method="GetLanguage"} 59110.5342
response_time_count{method="GetLanguage"} 693
response_time_bucket{method="GetLanguage",le="1"} 0
response_time_bucket{method="GetLanguage",le="2"} 0
response_time_bucket{method="GetLanguage",le="3"} 0
response_time_bucket{method="GetLanguage",le="4"} 0
response_time_bucket{method="GetLanguage",le="5"} 0
response_time_bucket{method="GetLanguage",le="6"} 0
response_time_bucket{method="GetLanguage",le="7"} 587
response_time_bucket{method="GetLanguage",le="8"} 589
response_time_bucket{method="GetLanguage",le="9"} 643
response_time_bucket{method="GetLanguage",le="10"} 645
response_time_bucket{method="GetLanguage",le="20"} 672
response_time_bucket{method="GetLanguage",le="30"} 689
response_time_bucket{method="GetLanguage",le="40"} 690
response_time_bucket{method="GetLanguage",le="50"} 690
response_time_bucket{method="GetLanguage",le="60"} 692
response_time_bucket{method="GetLanguage",le="70"} 693
response_time_bucket{method="GetLanguage",le="80"} 693
response_time_bucket{method="GetLanguage",le="90"} 693
response_time_bucket{method="GetLanguage",le="100"} 693
response_time_bucket{method="GetLanguage",le="200"} 693
response_time_bucket{method="GetLanguage",le="300"} 693
response_time_bucket{method="GetLanguage",le="400"} 693
response_time_bucket{method="GetLanguage",le="500"} 693
response_time_bucket{method="GetLanguage",le="600"} 693
response_time_bucket{method="GetLanguage",le="700"} 693
response_time_bucket{method="GetLanguage",le="800"} 693
response_time_bucket{method="GetLanguage",le="900"} 693
response_time_bucket{method="GetLanguage",le="1000"} 693
response_time_bucket{method="GetLanguage",le="1500"} 693
response_time_bucket{method="GetLanguage",le="2000"} 693
response_time_bucket{method="GetLanguage",le="2500"} 693
response_time_bucket{method="GetLanguage",le="3000"} 693
response_time_bucket{method="GetLanguage",le="3500"} 693
response_time_bucket{method="GetLanguage",le="4000"} 693
response_time_bucket{method="GetLanguage",le="4500"} 693
response_time_bucket{method="GetLanguage",le="5000"} 693
response_time_bucket{method="GetLanguage",le="5500"} 693
response_time_bucket{method="GetLanguage",le="6000"} 693
response_time_bucket{method="GetLanguage",le="6500"} 693
response_time_bucket{method="GetLanguage",le="7000"} 693
response_time_bucket{method="GetLanguage",le="7500"} 693
response_time_bucket{method="GetLanguage",le="8000"} 693
response_time_bucket{method="GetLanguage",le="8500"} 693
response_time_bucket{method="GetLanguage",le="9000"} 693
response_time_bucket{method="GetLanguage",le="9500"} 693
response_time_bucket{method="GetLanguage",le="10000"} 693
response_time_bucket{method="GetLanguage",le="15000"} 693
response_time_bucket{method="GetLanguage",le="30000"} 693
response_time_bucket{method="GetLanguage",le="+Inf"} 693
response_time_sum{method="Logon"} 24770.5342
response_time_count{method="Logon"} 376
response_time_bucket{method="Logon",le="1"} 0
response_time_bucket{method="Logon",le="2"} 0
response_time_bucket{method="Logon",le="3"} 0
response_time_bucket{method="Logon",le="4"} 0
response_time_bucket{method="Logon",le="5"} 13
response_time_bucket{method="Logon",le="6"} 154
response_time_bucket{method="Logon",le="7"} 368
response_time_bucket{method="Logon",le="8"} 373
response_time_bucket{method="Logon",le="9"} 375
response_time_bucket{method="Logon",le="10"} 376
response_time_bucket{method="Logon",le="20"} 376
response_time_bucket{method="Logon",le="30"} 376
response_time_bucket{method="Logon",le="40"} 376
response_time_bucket{method="Logon",le="50"} 376
response_time_bucket{method="Logon",le="60"} 376
response_time_bucket{method="Logon",le="70"} 376
response_time_bucket{method="Logon",le="80"} 376
response_time_bucket{method="Logon",le="90"} 376
response_time_bucket{method="Logon",le="100"} 376
response_time_bucket{method="Logon",le="200"} 376
response_time_bucket{method="Logon",le="300"} 376
response_time_bucket{method="Logon",le="400"} 376
response_time_bucket{method="Logon",le="500"} 376
response_time_bucket{method="Logon",le="600"} 376
response_time_bucket{method="Logon",le="700"} 376
response_time_bucket{method="Logon",le="800"} 376
response_time_bucket{method="Logon",le="900"} 376
response_time_bucket{method="Logon",le="1000"} 376
response_time_bucket{method="Logon",le="1500"} 376
response_time_bucket{method="Logon",le="2000"} 376
response_time_bucket{method="Logon",le="2500"} 376
response_time_bucket{method="Logon",le="3000"} 376
response_time_bucket{method="Logon",le="3500"} 376
response_time_bucket{method="Logon",le="4000"} 376
response_time_bucket{method="Logon",le="4500"} 376
response_time_bucket{method="Logon",le="5000"} 376
response_time_bucket{method="Logon",le="5500"} 376
response_time_bucket{method="Logon",le="6000"} 376
response_time_bucket{method="Logon",le="6500"} 376
response_time_bucket{method="Logon",le="7000"} 376
response_time_bucket{method="Logon",le="7500"} 376
response_time_bucket{method="Logon",le="8000"} 376
response_time_bucket{method="Logon",le="8500"} 376
response_time_bucket{method="Logon",le="9000"} 376
response_time_bucket{method="Logon",le="9500"} 376
response_time_bucket{method="Logon",le="10000"} 376
response_time_bucket{method="Logon",le="15000"} 376
response_time_bucket{method="Logon",le="30000"} 376
response_time_bucket{method="Logon",le="+Inf"} 376
response_time_sum{method="Search"} 105530.5342
response_time_count{method="Search"} 2839
response_time_bucket{method="Search",le="1"} 278
response_time_bucket{method="Search",le="2"} 745
response_time_bucket{method="Search",le="3"} 1897
response_time_bucket{method="Search",le="4"} 2396
response_time_bucket{method="Search",le="5"} 2416
response_time_bucket{method="Search",le="6"} 2733
response_time_bucket{method="Search",le="7"} 2751
response_time_bucket{method="Search",le="8"} 2762
response_time_bucket{method="Search",le="9"} 2769
response_time_bucket{method="Search",le="10"} 2800
response_time_bucket{method="Search",le="20"} 2813
response_time_bucket{method="Search",le="30"} 2826
response_time_bucket{method="Search",le="40"} 2833
response_time_bucket{method="Search",le="50"} 2836
response_time_bucket{method="Search",le="60"} 2836
response_time_bucket{method="Search",le="70"} 2838
response_time_bucket{method="Search",le="80"} 2839
response_time_bucket{method="Search",le="90"} 2839
